BALANCE,PURCHASES,BALANCE_FREQUENCY,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_FREQUENCY,PURCHASES_TRX,CASH_ADVANCE_FREQUENCY,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,CLUSTER
107.944741,118.16,0.875,472.818286,1.0,0.125,2.0,0.125,2500.0,192.781455,56.999671,8.0,2
241.032979,0.0,1.0,642.862505,1.0,0.0,0.0,0.083333,1500.0,915.4543050000001,195.162256,12.0,0
894.3578570000001,1164.0,1.0,0.0,0.0,1.0,12.0,0.0,2000.0,907.6037230000001,270.413449,12.0,1
1104.6960144212453,515.88,1.0,0.0,2.3221189591078066,0.833333,14.0,0.0,2700.0,601.729266,194.534934,12.0,1
3881.679582,15.92,1.0,2183.782456,9.0,0.083333,1.0,0.333333,5500.0,1032.183632,1129.747227,12.0,2
1087.784698,0.0,1.0,1562.703953,2.0,0.0,0.0,0.166667,1500.0,3093.888643,298.011965,12.0,0
1081.065726,554.85,1.0,952.424906,8.0,0.5,20.0,0.166667,2100.0,1898.82812,382.716751,12.0,1
100.208311,0.0,0.909091,182.143966,1.0,0.0,0.0,0.090909,3000.0,175.911508,145.244181,11.0,0
862.0723800000001,0.0,1.0,920.309805,1.0,0.0,0.0,0.083333,4000.0,2236.8902550000003,214.828158,12.0,0
1757.4399329999999,0.0,0.833333,2408.007601,6.0,0.0,0.0,0.166667,2500.0,175.11583100000001,450.616731,6.0,2
1101.0856310000001,0.0,1.0,164.836712,2.0,0.0,0.0,0.166667,1200.0,270.956427,345.479341,12.0,0
814.269404,0.0,0.875,1175.358928,1.0,0.0,0.0,0.125,1200.0,257.187514,205.446177,8.0,0
80.298186,1090.0,0.727273,0.0,0.0,0.5,6.0,0.0,4500.0,1015.891727,166.102478,12.0,0
5058.555256000001,0.0,1.0,2915.339463,8.0,0.0,0.0,0.666667,7000.0,1689.268612,1198.874608,12.0,2
17.896575,265.97,0.909091,0.0,0.0,1.0,14.0,0.0,1000.0,224.52867799999999,120.554003,12.0,1
126.15916499999999,144.9,1.0,0.0,0.0,0.25,6.0,0.0,450.0,1307.853194,341.6853912583203,12.0,0
28.445432,166.2,0.545455,0.0,0.0,0.25,3.0,0.0,5500.0,236.02270299999998,97.531842,12.0,0
153.00313500000001,96.2,1.0,0.0,0.0,0.833333,10.0,0.0,9000.0,326.168469,202.58767,12.0,1
1484.996584,170.0,0.8736793396648064,0.0,0.0,0.416667,5.0,0.0,1500.0,406.18967299999997,479.239093,12.0,0
793.005227,4.99,1.0,0.0,0.0,0.083333,1.0,0.0,2500.0,1127.028432,223.627537,12.0,0
39.670161,319.92,1.0,0.0,0.0,1.0,12.0,0.0,10000.0,365.863745,176.935616,12.0,1
677.778395,0.0,0.75,1361.306734,2.0,0.0,0.0,0.125,1500.0,1515.946459,143.812331,11.464137410343525,0
512.058666,921.2,0.818182,0.0,0.0,0.416667,7.0,0.0,5500.0,1851.553319,786.58816,12.0,0
1243.250958,1680.0,1.0,0.0,0.0,1.0,12.0,0.0,4500.0,1105.142936,361.880781,12.0,1
1499.324936,0.0,1.0,18.123413,1.0,0.0,0.0,0.083333,1500.0,309.565852,526.749661,12.0,0
516.49276,380.0,1.0,1004.279993,11.0,0.333333,6.0,0.5,1200.0,415.924157,247.45192,12.0,2
10.318754,102.66,0.625,0.0,0.0,0.375,3.0,0.0,1500.0,190.431856,55.178854,8.0,1
216.64892999999998,4606.71,1.0,0.0,2.3221189591078066,1.0,22.0,0.0,2000.0,2251.966666,131.425363,10.0,1
1186.616403,0.0,1.0,1496.629534,4.0,0.0,0.0,0.25,1500.0,1779.2748530000001,300.990997,12.0,0
1548.224072,696.63,1.0,0.0,0.0,0.083333,2.0,0.0,1800.0,588.329981,918.350562,12.0,2
2439.976275,499.59,1.0,0.0,0.0,0.916667,11.0,0.0,2700.0,555.286351,617.276328,12.0,1
2951.220065,0.0,0.8736793396648064,1477.737906,16.0,0.0,0.0,0.666667,8500.0,710.854365,685.291892,12.0,2
1058.726643,191.0,0.571429,1639.830365,2.0,0.14285699999999998,2.0,0.14285699999999998,2000.0,171.044001,354.529079,7.0,2
2807.729258,0.0,1.0,109.708511,2.0,0.0,0.0,0.166667,3000.0,616.424424,985.64549,12.0,2
2230.477487,0.0,0.857143,2480.833949,2.0,0.0,0.0,0.14285699999999998,2500.0,391.306121,397.057608,7.0,2
31.702357,1051.52,0.181818,0.0,0.0,1.0,16.0,0.0,4600.0,5384.409792,13.545097,12.0,1
